element_type,osmid,amenity,cuisine,name,geometry,shelter_type,atm,healthcare,bus,public_transport,capacity,nodes,ferry,landuse,addr:street,name:en,name:zh,wikidata,wikipedia,tourism,building,internet_access,internet_access:fee,operator,outdoor_seating,website,access,covered,email,opening_hours,surface,bicycle_parking,fee,operator:type,waste,parking,religion,layer,townhall:type,brand,brand:en,brand:wikidata,brand:zh,ref,takeaway,addr:city,addr:district,addr:postcode,addr:province,smoking,addr:housenumber,drive_through,operator:en,operator:wikidata,operator:zh,description,park_ride,barrier,backrest,female,male,toilets:disposal,bench,bin,diet:vegetarian,changing_table,unisex,wheelchair,highway,fuel:octane_92,source,social_facility,social_facility:for,alt_name,created_by,name:zh-Latn-pinyin,brand:wikipedia,name:de,official_name,phone,brand:zh-Hans,name:zh-Hans,address,contact:phone,lgbtq,addr:country,bar,payment:telephone_cards,check_date,name:cs,name:fi,name:fr,name:ko,name:sv,name:zh-Hant,delivery,not:brand:wikidata,addr:housename,designation,diet:halal,bicycle,motorcar,short_name,operator:wikipedia,motor_vehicle,supervised,bicycle_rental,drink:tea,material,recycling_type,collection_times,post_box:type,historic,note,vending,indoor,type,service:bicycle:pump,maxheight,name:zh-CN,name:zh-Hant-CN,entrance,name:ru,fast_food,tower:type,brand:zh-Hant,int_name,start_date,shop,dispensing,level,description:en,phone:mobile,brand:ja,branch,parcel_mail_in,parcel_pickup,payment,payment:mobilepay,payment:cash,payment:mobile_phone,cash_in,post_office,addr:floor,toilets,colour,toilets:handwashing,name:ja,diet:chicken,diet:meat,diet:mediterranean,diet:salad,theatre:type,indoor_seating,self_service,air_conditioning,old_name,internet_access:ssid,healthcare:speciality,denomination,height,building:levels,was:building,grades,alt_name:zh,addr:full,addr:full:en,office,capacity:disabled,construction,trolleybus,ways,name:nan,name:nan-HJ,name:nan-POJ,name:nan-TL,short_name:en,short_name:nan,short_name:nan-HJ,short_name:nan-POJ,short_name:nan-TL,short_name:zh,stars,lit,shelter,postal_code,cargo,opening_hours:covid19,toilets:access,emergency,theatre:genre,roof:height,roof:shape,title,residential,studio,site,payment:alipay,payment:coins,payment:wechat,network,payment:叮嗒出行,payment:杭州市民卡,payment:杭州通,location,lockable,fixme,fixme:type,school,name:el,name:es,preschool,psv,taxi,tourist_bus,coach,diet:local
way,1186030838,research_institute,,光学薄膜中试基地,"POLYGON ((120.3065667 30.4467105, 120.3077289 30.4468969, 120.3081055 30.4455185, 120.3071403 30.4453656, 120.3070784 30.4455421, 120.3069121 30.4455257, 120.3065667 30.4467105))",,,,,,,"[9521292215, 11016373507, 11016373502, 11016373504, 11016373505, 11016373506, 9521292215]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,1186030849,hospital,,杭州邦尔医院(新天路院区),"POLYGON ((120.3139516 30.4479451, 120.3168643 30.4484043, 120.3169965 30.4478809, 120.3176437 30.4479663, 120.3176605 30.4478863, 120.3141879 30.4473194, 120.3139516 30.4479451))",,,hospital,,,,"[11016373551, 11016373552, 11016373553, 11016373554, 11016373555, 11016373556, 11016373551]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,1186278962,school,,杭州市临平区临平第三小学(新洲校区),"POLYGON ((120.2786598 30.4484556, 120.2797653 30.4467772, 120.2809451 30.4472804, 120.2797582 30.4489542, 120.2786598 30.4484556))",,,,,,,"[11018380879, 11018380880, 11018380881, 11018380882, 11018380879]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,1186278965,kindergarten,,新洲路幼儿园,"POLYGON ((120.2811311 30.4470732, 120.2799921 30.4465295, 120.2803389 30.4459742, 120.2814986 30.4465599, 120.2811311 30.4470732))",,,,,,,"[11018380890, 11018380896, 11018380892, 11018380891, 11018380890]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,1186278980,kindergarten,,美纶幼儿园,"POLYGON ((120.2879922 30.4510502, 120.2889101 30.451371, 120.2889763 30.4505037, 120.2883797 30.45026, 120.2879922 30.4510502))",,,,,,,"[11018380949, 11018380950, 11018380951, 11018380948, 11018380949]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,1186279011,social_centre,,工农村文化礼堂,"POLYGON ((120.30617 30.454763, 120.3063323 30.4541152, 120.3066552 30.4541675, 120.3065318 30.4548323, 120.30617 30.454763))",,,,,,,"[11018381063, 11018381066, 11018381067, 11018381064, 11018381063]",,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,1186573116,parking,,北贵宾区停车场,"POLYGON ((120.4291585 30.2389831, 120.4292644 30.2388048, 120.4300893 30.2391703, 120.4299835 30.2393486, 120.4298722 30.2392992, 120.4294355 30.2391058, 120.4291585 30.2389831))",,,,,,,"[11020798852, 11020798853, 11020798854, 11020798855, 11102161254, 11102161253, 11020798852]",,,,,,,,,,,,,,,customers,,,,,,,,,surface,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,1186573122,parking,,空港大厦停车场,"POLYGON ((120.430119 30.2359475, 120.4315318 30.2365776, 120.4313815 30.2368292, 120.4313603 30.2368197, 120.4308264 30.2365815, 120.4289846 30.2357599, 120.4284939 30.235541, 120.4284296 30.2355123, 120.4285828 30.235256, 120.4299319 30.2358578, 120.4298881 30.2359312, 120.4300781 30.2360159, 120.430119 30.2359475))",,,,,,,"[11899172030, 11020798886, 11020798887, 11899172037, 11899172036, 11899172032, 11899172033, 11020798884, 11020798885, 11899172027, 11899299401, 11899299402, 11899172030]",,,,,,,,,,,,,,,private,,,,,,,,,surface,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,1186913108,school,,昌达路小学,"POLYGON ((120.2758841 30.4528911, 120.2771212 30.4532143, 120.2750268 30.4569521, 120.2740966 30.4568501, 120.2749665 30.4547141, 120.2758841 30.4528911))",,,,,,,"[11023157684, 11023157685, 11023157686, 11023157687, 11023157688, 11023157684]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,1186913116,social_facility,,乾元社区居家养老服务照料中心,"POLYGON ((120.2696071 30.4591604, 120.2696336 30.4585502, 120.2705809 30.4585965, 120.2705927 30.458864, 120.2712438 30.458928, 120.2720871 30.4593409, 120.2720766 30.4594266, 120.2711981 30.4592662, 120.2696071 30.4591604))",,,,,,,"[11023177314, 11023177315, 11023177316, 11023177317, 11023177318, 11023177319, 11023177320, 11023177321, 11023177314]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nursing_home,senior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,1186913174,fire_station,,,"POLYGON ((120.2844941 30.4616554, 120.2845851 30.4613656, 120.2846561 30.4613779, 120.2850734 30.4613587, 120.2850307 30.4617379, 120.2844941 30.4616554))",,,,,,,"[11023177603, 11023177604, 7353292572, 11023177605, 11023177606, 11023177603]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,1186913202,school,,杭州市余杭区育蕾学校(运河校区),"POLYGON ((120.2919561 30.4602425, 120.2927905 30.4603721, 120.2926937 30.4609821, 120.2919652 30.4608216, 120.2918004 30.4607853, 120.2919561 30.4602425))",,,,,,,"[11023177744, 11023177745, 11023177746, 11023177748, 11023177734, 11023177744]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,1186920816,driving_school,,杭州向阳驾校运河分校(宁桥大道),"POLYGON ((120.288288 30.4664664, 120.2883562 30.4662824, 120.2884864 30.465931, 120.2891861 30.4661599, 120.2890935 30.4666192, 120.288288 30.4664664))",,,,,,,"[11023192896, 11023192900, 11023192897, 11023192898, 11023192899, 11023192896]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,1188227345,kindergarten,,余杭区临平街道幼儿教育集团乾元园区,"POLYGON ((120.2671767 30.4578755, 120.2666436 30.4578231, 120.2667591 30.4572464, 120.267236 30.4573436, 120.2673156 30.4572281, 120.2674476 30.4572698, 120.2672786 30.4576189, 120.2672598 30.4578778, 120.2671767 30.4578755))",,,,,,,"[8682255745, 11033811518, 11033811519, 11033811520, 11033811521, 8682255753, 8682255754, 8682255744, 8682255745]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
